AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.240858E+0	0.000000E+0	1.000000E+3	7.923360E+6	1.188567E+6	-7.833706E+6	-8.137261E+1	1.985951E-11	5.281960E+7	1.517248E-1
2.369633E+0	0.000000E+0	1.000000E+3	7.913900E+6	1.429639E+6	-7.783697E+6	-7.959243E+1	1.977994E-11	4.380814E+7	1.836709E-1
3.466622E+0	0.000000E+0	1.000000E+3	8.325260E+6	-6.790329E+5	-8.297522E+6	-9.467841E+1	1.905342E-11	-1.020716E+8	-8.183563E-2
4.538656E+0	0.000000E+0	1.000000E+3	7.953000E+6	-7.781761E+5	-7.914837E+6	-9.561520E+1	1.991591E-11	-8.128007E+7	-9.831865E-2
5.626875E+0	0.000000E+0	1.000000E+3	8.375850E+6	-1.233810E+6	-8.284478E+6	-9.847082E+1	1.879436E-11	-5.686034E+7	-1.489304E-1
6.760356E+0	0.000000E+0	1.000000E+3	8.275890E+6	-1.301860E+6	-8.172852E+6	-9.905065E+1	1.899172E-11	-5.260961E+7	-1.592908E-1
7.841345E+0	0.000000E+0	1.000000E+3	8.682300E+6	-9.378836E+5	-8.631495E+6	-9.620133E+1	1.822370E-11	-8.037494E+7	-1.086583E-1
8.967359E+0	0.000000E+0	1.000000E+3	7.802340E+6	3.750413E+5	-7.793321E+6	-8.724486E+1	2.037478E-11	1.623195E+8	4.812342E-2
1.011845E+1	0.000000E+0	1.000000E+3	8.160690E+6	-7.801413E+5	-8.123315E+6	-9.548571E+1	1.941331E-11	-8.536513E+7	-9.603731E-2
1.119621E+1	0.000000E+0	1.000000E+3	8.099940E+6	-8.377636E+5	-8.056499E+6	-9.593663E+1	1.954352E-11	-7.831448E+7	-1.039861E-1
1.227432E+1	0.000000E+0	1.000000E+3	8.418050E+6	-1.243773E+6	-8.325659E+6	-9.849660E+1	1.869889E-11	-5.697467E+7	-1.493904E-1
1.335228E+1	0.000000E+0	1.000000E+3	8.185550E+6	-5.368621E+5	-8.167926E+6	-9.376053E+1	1.940154E-11	-1.248053E+8	-6.572808E-2
1.446656E+1	0.000000E+0	1.000000E+3	7.668770E+6	1.164553E+6	-7.579832E+6	-8.126547E+1	2.051296E-11	5.050010E+7	1.536384E-1
1.554107E+1	0.000000E+0	1.000000E+3	7.238230E+6	9.611857E+5	-7.174127E+6	-8.236899E+1	2.179337E-11	5.450765E+7	1.339795E-1
1.663610E+1	0.000000E+0	1.000000E+3	8.215880E+6	-7.134192E+5	-8.184847E+6	-9.498151E+1	1.929845E-11	-9.461574E+7	-8.716341E-2
1.771666E+1	0.000000E+0	1.000000E+3	8.268150E+6	-9.273325E+5	-8.215982E+6	-9.643968E+1	1.912771E-11	-7.371930E+7	-1.128693E-1
1.885052E+1	0.000000E+0	1.000000E+3	8.426890E+6	-7.529792E+5	-8.393182E+6	-9.512646E+1	1.881101E-11	-9.430868E+7	-8.971320E-2
