AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.170556E+0	0.000000E+0	1.000000E+3	8.634940E+6	-8.616575E+5	-8.591841E+6	-9.572692E+1	1.833951E-11	-8.653344E+7	-1.002879E-1
2.253433E+0	0.000000E+0	1.000000E+3	8.244930E+6	-5.582793E+5	-8.226007E+6	-9.388257E+1	1.925907E-11	-1.217650E+8	-6.786759E-2
3.331555E+0	0.000000E+0	1.000000E+3	7.818540E+6	-4.322517E+5	-7.806582E+6	-9.316924E+1	2.032496E-11	-1.414212E+8	-5.537015E-2
4.408649E+0	0.000000E+0	1.000000E+3	8.086030E+6	9.222990E+4	-8.085504E+6	-8.934647E+1	1.968142E-11	7.089228E+8	1.140682E-2
5.500008E+0	0.000000E+0	1.000000E+3	8.494210E+6	-1.838316E+5	-8.492221E+6	-9.124009E+1	1.873249E-11	-3.924876E+8	-2.164705E-2
6.575498E+0	0.000000E+0	1.000000E+3	7.528220E+6	-9.954782E+4	-7.527562E+6	-9.075766E+1	2.113926E-11	-5.693153E+8	-1.322444E-2
7.654380E+0	0.000000E+0	1.000000E+3	7.755120E+6	-4.855689E+5	-7.739904E+6	-9.358979E+1	2.048230E-11	-1.238586E+8	-6.273578E-2
8.731211E+0	0.000000E+0	1.000000E+3	8.347300E+6	-6.178331E+5	-8.324404E+6	-9.424468E+1	1.901434E-11	-1.127771E+8	-7.421950E-2
9.809104E+0	0.000000E+0	1.000000E+3	8.091330E+6	-3.647441E+5	-8.083105E+6	-9.258368E+1	1.964982E-11	-1.794946E+8	-4.512426E-2
1.088872E+1	0.000000E+0	1.000000E+3	7.890210E+6	-2.023907E+5	-7.887614E+6	-9.146985E+1	2.016456E-11	-3.076002E+8	-2.565930E-2
1.196350E+1	0.000000E+0	1.000000E+3	7.996880E+6	-2.231134E+5	-7.993767E+6	-9.159876E+1	1.989438E-11	-2.866260E+8	-2.791092E-2
1.304333E+1	0.000000E+0	1.000000E+3	8.636190E+6	-2.227344E+5	-8.633317E+6	-9.147787E+1	1.842271E-11	-3.348553E+8	-2.579940E-2
1.412133E+1	0.000000E+0	1.000000E+3	8.901400E+6	-3.083155E+5	-8.896059E+6	-9.198494E+1	1.786904E-11	-2.569930E+8	-3.465754E-2
1.519984E+1	0.000000E+0	1.000000E+3	7.970940E+6	-9.472182E+4	-7.970377E+6	-9.068088E+1	1.996549E-11	-6.707629E+8	-1.188423E-2
1.635207E+1	0.000000E+0	1.000000E+3	8.488710E+6	-8.634499E+5	-8.444682E+6	-9.583808E+1	1.865177E-11	-8.345382E+7	-1.022478E-1
1.747481E+1	0.000000E+0	1.000000E+3	8.361080E+6	1.979412E+5	-8.358737E+6	-8.864345E+1	1.902988E-11	3.531739E+8	2.368075E-2
