AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.170813E+0	0.000000E+0	1.000000E+3	8.301090E+6	-1.130025E+6	-8.223815E+6	-9.782395E+1	1.899430E-11	-6.097928E+7	-1.374088E-1
2.248884E+0	0.000000E+0	1.000000E+3	7.944230E+6	-8.689745E+5	-7.896561E+6	-9.627983E+1	1.991382E-11	-7.262674E+7	-1.100447E-1
3.323821E+0	0.000000E+0	1.000000E+3	7.992730E+6	-8.376451E+5	-7.948716E+6	-9.601569E+1	1.980281E-11	-7.626587E+7	-1.053812E-1
4.404916E+0	0.000000E+0	1.000000E+3	8.077680E+6	-8.325689E+5	-8.034659E+6	-9.591600E+1	1.959811E-11	-7.837059E+7	-1.036222E-1
5.494780E+0	0.000000E+0	1.000000E+3	8.073410E+6	-8.073912E+5	-8.032936E+6	-9.573953E+1	1.961464E-11	-8.072908E+7	-1.005101E-1
6.635520E+0	0.000000E+0	1.000000E+3	8.238700E+6	-6.189145E+5	-8.215420E+6	-9.430828E+1	1.926338E-11	-1.096697E+8	-7.533571E-2
7.753196E+0	0.000000E+0	1.000000E+3	7.996020E+6	1.282249E+6	-7.892539E+6	-8.077215E+1	1.964668E-11	4.986264E+7	1.624635E-1
8.907281E+0	0.000000E+0	1.000000E+3	8.095270E+6	-6.638242E+5	-8.068007E+6	-9.470362E+1	1.959403E-11	-9.872101E+7	-8.227859E-2
1.004913E+1	0.000000E+0	1.000000E+3	8.220170E+6	-8.799541E+5	-8.172936E+6	-9.614518E+1	1.925026E-11	-7.678945E+7	-1.076668E-1
1.112782E+1	0.000000E+0	1.000000E+3	8.457440E+6	-3.445763E+5	-8.450418E+6	-9.233501E+1	1.880271E-11	-2.075833E+8	-4.077625E-2
1.226988E+1	0.000000E+0	1.000000E+3	8.139990E+6	-1.003896E+6	-8.077848E+6	-9.708426E+1	1.940296E-11	-6.600230E+7	-1.242776E-1
1.334980E+1	0.000000E+0	1.000000E+3	8.124450E+6	-1.007865E+6	-8.061693E+6	-9.712609E+1	1.943831E-11	-6.549162E+7	-1.250190E-1
1.449061E+1	0.000000E+0	1.000000E+3	8.068790E+6	-1.024815E+6	-8.003445E+6	-9.729683E+1	1.956502E-11	-6.352893E+7	-1.280467E-1
1.557247E+1	0.000000E+0	1.000000E+3	8.757150E+6	-9.881814E+5	-8.701217E+6	-9.647922E+1	1.805820E-11	-7.760486E+7	-1.135682E-1
1.670458E+1	0.000000E+0	1.000000E+3	8.046170E+6	-9.784301E+5	-7.986459E+6	-9.698457E+1	1.963342E-11	-6.616809E+7	-1.225111E-1
1.778295E+1	0.000000E+0	1.000000E+3	8.339310E+6	-7.435754E+5	-8.306093E+6	-9.511558E+1	1.900889E-11	-9.352662E+7	-8.952168E-2
1.886033E+1	0.000000E+0	1.000000E+3	8.393100E+6	-6.356187E+5	-8.368997E+6	-9.434323E+1	1.890814E-11	-1.108277E+8	-7.594920E-2
1.999194E+1	0.000000E+0	1.000000E+3	8.473930E+6	-1.276496E+6	-8.377234E+6	-9.866391E+1	1.856740E-11	-5.625358E+7	-1.523768E-1
2.110994E+1	0.000000E+0	1.000000E+3	7.789310E+6	1.168150E+6	-7.701219E+6	-8.137490E+1	2.020141E-11	5.193967E+7	1.516838E-1
2.221130E+1	0.000000E+0	1.000000E+3	8.263200E+6	-8.241515E+5	-8.221998E+6	-9.572406E+1	1.916465E-11	-8.284942E+7	-1.002374E-1
2.335004E+1	0.000000E+0	1.000000E+3	8.101660E+6	-9.167900E+5	-8.049621E+6	-9.649755E+1	1.951855E-11	-7.159425E+7	-1.138923E-1
2.448042E+1	0.000000E+0	1.000000E+3	8.097620E+6	-8.471881E+5	-8.053181E+6	-9.600538E+1	1.954667E-11	-7.739893E+7	-1.051992E-1
2.559915E+1	0.000000E+0	1.000000E+3	7.645750E+6	3.982880E+5	-7.635369E+6	-8.701395E+1	2.078787E-11	1.467719E+8	5.216356E-2
2.675015E+1	0.000000E+0	1.000000E+3	8.081290E+6	-4.831641E+5	-8.066833E+6	-9.342764E+1	1.965902E-11	-1.351658E+8	-5.989514E-2
2.788147E+1	0.000000E+0	1.000000E+3	8.153940E+6	-4.600754E+5	-8.140950E+6	-9.323456E+1	1.948768E-11	-1.445127E+8	-5.651372E-2
2.901452E+1	0.000000E+0	1.000000E+3	8.159960E+6	-9.122791E+5	-8.108803E+6	-9.641906E+1	1.938210E-11	-7.298748E+7	-1.125048E-1
3.009476E+1	0.000000E+0	1.000000E+3	8.298470E+6	-1.081719E+6	-8.227666E+6	-9.748991E+1	1.901519E-11	-6.366217E+7	-1.314734E-1
3.122650E+1	0.000000E+0	1.000000E+3	7.844050E+6	-5.626695E+5	-7.823843E+6	-9.411347E+1	2.023763E-11	-1.093522E+8	-7.191728E-2
3.231728E+1	0.000000E+0	1.000000E+3	7.875660E+6	-7.906710E+5	-7.835870E+6	-9.576187E+1	2.010636E-11	-7.844732E+7	-1.009041E-1
3.344785E+1	0.000000E+0	1.000000E+3	8.107250E+6	-9.388461E+5	-8.052706E+6	-9.664996E+1	1.949911E-11	-7.000882E+7	-1.165877E-1
