AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.170176E+0	0.000000E+0	1.000000E+3	8.408400E+6	-2.049233E+5	-8.405903E+6	-9.139651E+1	1.892247E-11	-3.450129E+8	-2.437850E-2
2.249870E+0	0.000000E+0	1.000000E+3	8.056180E+6	-4.038777E+5	-8.046050E+6	-9.287359E+1	1.973079E-11	-1.606973E+8	-5.019577E-2
3.327865E+0	0.000000E+0	1.000000E+3	8.279730E+6	-1.170191E+5	-8.278903E+6	-9.080980E+1	1.922032E-11	-5.858354E+8	-1.413461E-2
4.409176E+0	0.000000E+0	1.000000E+3	7.879730E+6	-7.621450E+5	-7.842785E+6	-9.555045E+1	2.010332E-11	-8.146762E+7	-9.717785E-2
5.499987E+0	0.000000E+0	1.000000E+3	7.899330E+6	3.085193E+5	-7.893303E+6	-8.776166E+1	2.013253E-11	2.022545E+8	3.908621E-2
6.570859E+0	0.000000E+0	1.000000E+3	8.138520E+6	-1.925693E+5	-8.136241E+6	-9.135583E+1	1.955028E-11	-3.439567E+8	-2.366809E-2
7.651781E+0	0.000000E+0	1.000000E+3	8.755290E+6	-2.588008E+5	-8.751464E+6	-9.169387E+1	1.817020E-11	-2.961934E+8	-2.957229E-2
8.728588E+0	0.000000E+0	1.000000E+3	8.190570E+6	-8.440416E+5	-8.146965E+6	-9.591485E+1	1.932804E-11	-7.948120E+7	-1.036020E-1
9.807206E+0	0.000000E+0	1.000000E+3	8.254290E+6	-4.353246E+5	-8.242803E+6	-9.302314E+1	1.925465E-11	-1.565115E+8	-5.281269E-2
1.088423E+1	0.000000E+0	1.000000E+3	8.298320E+6	-2.373301E+5	-8.294926E+6	-9.163887E+1	1.917133E-11	-2.901534E+8	-2.861148E-2
1.196227E+1	0.000000E+0	1.000000E+3	8.553870E+6	5.693693E+4	-8.553681E+6	-8.961862E+1	1.860578E-11	1.285083E+9	6.656425E-3
1.304074E+1	0.000000E+0	1.000000E+3	8.417270E+6	-5.626423E+5	-8.398444E+6	-9.383273E+1	1.886585E-11	-1.259245E+8	-6.699363E-2
1.411793E+1	0.000000E+0	1.000000E+3	7.857610E+6	-5.837823E+5	-7.835894E+6	-9.426072E+1	2.019890E-11	-1.057621E+8	-7.450105E-2
1.519710E+1	0.000000E+0	1.000000E+3	7.431840E+6	-2.560778E+5	-7.427427E+6	-9.197462E+1	2.140256E-11	-2.156854E+8	-3.447732E-2
1.627279E+1	0.000000E+0	1.000000E+3	7.924010E+6	-3.564100E+5	-7.915991E+6	-9.257795E+1	2.006482E-11	-1.761733E+8	-4.502406E-2
1.735073E+1	0.000000E+0	1.000000E+3	8.868860E+6	1.007155E+5	-8.868288E+6	-8.934933E+1	1.794421E-11	7.809788E+8	1.135682E-2
1.842956E+1	0.000000E+0	1.000000E+3	7.577480E+6	-5.240466E+5	-7.559337E+6	-9.396565E+1	2.095339E-11	-1.095670E+8	-6.932441E-2
1.950615E+1	0.000000E+0	1.000000E+3	8.206820E+6	3.564440E+5	-8.199076E+6	-8.751071E+1	1.937471E-11	1.889550E+8	4.347368E-2
2.058582E+1	0.000000E+0	1.000000E+3	8.291240E+6	-3.311242E+4	-8.291174E+6	-9.022882E+1	1.919540E-11	-2.076099E+9	-3.993694E-3
2.166281E+1	0.000000E+0	1.000000E+3	7.833820E+6	-1.034898E+6	-7.765161E+6	-9.759133E+1	2.013833E-11	-5.929934E+7	-1.332744E-1
2.274026E+1	0.000000E+0	1.000000E+3	8.233250E+6	-6.154673E+5	-8.210213E+6	-9.428708E+1	1.927667E-11	-1.101381E+8	-7.496362E-2
2.382137E+1	0.000000E+0	1.000000E+3	8.133050E+6	-3.835236E+5	-8.124002E+6	-9.270285E+1	1.954714E-11	-1.724705E+8	-4.720870E-2
2.489812E+1	0.000000E+0	1.000000E+3	7.984850E+6	-1.927649E+5	-7.982523E+6	-9.138333E+1	1.992631E-11	-3.307544E+8	-2.414837E-2
2.597673E+1	0.000000E+0	1.000000E+3	8.201620E+6	-5.838194E+5	-8.180814E+6	-9.408196E+1	1.935608E-11	-1.152181E+8	-7.136445E-2
2.705298E+1	0.000000E+0	1.000000E+3	7.693430E+6	-6.447499E+5	-7.666366E+6	-9.480733E+1	2.061435E-11	-9.180127E+7	-8.410112E-2
2.813105E+1	0.000000E+0	1.000000E+3	8.243730E+6	1.268357E+5	-8.242754E+6	-8.911843E+1	1.930390E-11	5.358040E+8	1.538754E-2
2.920896E+1	0.000000E+0	1.000000E+3	7.603730E+6	-9.689150E+5	-7.541745E+6	-9.732089E+1	2.076054E-11	-5.967160E+7	-1.284736E-1
3.028658E+1	0.000000E+0	1.000000E+3	8.495860E+6	-4.222713E+5	-8.485359E+6	-9.284896E+1	1.871008E-11	-1.709319E+8	-4.976469E-2
3.136482E+1	0.000000E+0	1.000000E+3	8.312530E+6	-5.099332E+5	-8.296874E+6	-9.351703E+1	1.911033E-11	-1.355043E+8	-6.146089E-2
3.244595E+1	0.000000E+0	1.000000E+3	8.564480E+6	-7.436896E+5	-8.532130E+6	-9.498151E+1	1.851295E-11	-9.863029E+7	-8.716341E-2
3.352082E+1	0.000000E+0	1.000000E+3	7.766320E+6	-9.218094E+5	-7.711420E+6	-9.681669E+1	2.034810E-11	-6.543189E+7	-1.195382E-1
