AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.171144E+0	0.000000E+0	1.000000E+3	7.900860E+6	-2.062180E+5	-7.898168E+6	-9.149563E+1	2.013714E-11	-3.027067E+8	-2.610960E-2
2.243755E+0	0.000000E+0	1.000000E+3	8.116220E+6	1.407795E+5	-8.114999E+6	-8.900613E+1	1.960654E-11	4.679162E+8	1.734807E-2
3.324501E+0	0.000000E+0	1.000000E+3	7.970510E+6	-3.510963E+5	-7.962773E+6	-9.252466E+1	1.994859E-11	-1.809447E+8	-4.409221E-2
4.412511E+0	0.000000E+0	1.000000E+3	7.782560E+6	-2.951503E+5	-7.776961E+6	-9.217344E+1	2.043549E-11	-2.052115E+8	-3.795188E-2
5.503799E+0	0.000000E+0	1.000000E+3	8.098360E+6	-4.377756E+5	-8.086519E+6	-9.309877E+1	1.962400E-11	-1.498106E+8	-5.413647E-2
6.591237E+0	0.000000E+0	1.000000E+3	8.555030E+6	2.263938E+4	-8.555000E+6	-8.984838E+1	1.860360E-11	3.232798E+9	2.646333E-3
7.680097E+0	0.000000E+0	1.000000E+3	8.609660E+6	-6.761676E+4	-8.609394E+6	-9.044998E+1	1.848505E-11	-1.096270E+9	-7.853835E-3
8.766995E+0	0.000000E+0	1.000000E+3	8.380180E+6	-6.732386E+5	-8.353093E+6	-9.460794E+1	1.893044E-11	-1.043128E+8	-8.059752E-2
9.833270E+0	0.000000E+0	1.000000E+3	7.547860E+6	-3.379833E+5	-7.540289E+6	-9.256649E+1	2.106495E-11	-1.685592E+8	-4.482366E-2
1.092433E+1	0.000000E+0	1.000000E+3	7.814850E+6	-3.998961E+5	-7.804612E+6	-9.293318E+1	2.033903E-11	-1.527194E+8	-5.123844E-2
1.204696E+1	0.000000E+0	1.000000E+3	8.045990E+6	4.237176E+5	-8.034825E+6	-8.698130E+1	1.975321E-11	1.527856E+8	5.273513E-2
1.318058E+1	0.000000E+0	1.000000E+3	8.030560E+6	-2.616188E+5	-8.026297E+6	-9.186691E+1	1.980814E-11	-2.465032E+8	-3.259521E-2
1.432456E+1	0.000000E+0	1.000000E+3	8.452190E+6	-4.896895E+4	-8.452048E+6	-9.033195E+1	1.882971E-11	-1.458874E+9	-5.793738E-3
