AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.185057E+0	0.000000E+0	1.000000E+3	8.229120E+6	-8.651196E+5	-8.183519E+6	-9.603460E+1	1.923328E-11	-7.827636E+7	-1.057149E-1
2.299143E+0	0.000000E+0	1.000000E+3	7.397770E+6	7.616269E+5	-7.358459E+6	-8.409072E+1	2.139959E-11	7.185539E+7	1.035036E-1
3.382369E+0	0.000000E+0	1.000000E+3	7.607770E+6	-2.247083E+4	-7.607737E+6	-9.016923E+1	2.091996E-11	-2.575702E+9	-2.953682E-3
4.460024E+0	0.000000E+0	1.000000E+3	7.089730E+6	6.199579E+5	-7.062572E+6	-8.498339E+1	2.236267E-11	8.107691E+7	8.778075E-2
5.550631E+0	0.000000E+0	1.000000E+3	7.711060E+6	7.701002E+5	-7.672509E+6	-8.426834E+1	2.053664E-11	7.721131E+7	1.003714E-1
6.641759E+0	0.000000E+0	1.000000E+3	7.920260E+6	-9.488884E+5	-7.863214E+6	-9.688086E+1	1.994993E-11	-6.610948E+7	-1.206744E-1
7.714498E+0	0.000000E+0	1.000000E+3	7.767090E+6	-1.235933E+6	-7.668126E+6	-9.915608E+1	2.022985E-11	-4.881144E+7	-1.611780E-1
8.796869E+0	0.000000E+0	1.000000E+3	8.341350E+6	-8.468842E+5	-8.298247E+6	-9.582719E+1	1.898164E-11	-8.215777E+7	-1.020558E-1
9.923192E+0	0.000000E+0	1.000000E+3	8.017090E+6	-1.011807E+6	-7.952986E+6	-9.725042E+1	1.969322E-11	-6.352373E+7	-1.272235E-1
1.100362E+1	0.000000E+0	1.000000E+3	8.018350E+6	-5.905269E+5	-7.996575E+6	-9.422348E+1	1.979494E-11	-1.088755E+8	-7.384748E-2
1.212185E+1	0.000000E+0	1.000000E+3	7.839520E+6	4.439208E+5	-7.826941E+6	-8.675383E+1	2.026904E-11	1.384438E+8	5.671703E-2
1.321002E+1	0.000000E+0	1.000000E+3	8.142240E+6	-9.943957E+5	-8.081290E+6	-9.701493E+1	1.940050E-11	-6.666971E+7	-1.230491E-1
1.428419E+1	0.000000E+0	1.000000E+3	7.846980E+6	-9.459516E+5	-7.789754E+6	-9.692383E+1	2.013440E-11	-6.509328E+7	-1.214354E-1
1.541278E+1	0.000000E+0	1.000000E+3	8.032110E+6	-8.170856E+5	-7.990442E+6	-9.583865E+1	1.971204E-11	-7.895720E+7	-1.022579E-1
1.653675E+1	0.000000E+0	1.000000E+3	8.299750E+6	-5.838503E+5	-8.279189E+6	-9.403383E+1	1.912837E-11	-1.179855E+8	-7.052023E-2
1.761806E+1	0.000000E+0	1.000000E+3	8.435330E+6	-7.822943E+5	-8.398977E+6	-9.532127E+1	1.878635E-11	-9.095655E+7	-9.314163E-2
1.874881E+1	0.000000E+0	1.000000E+3	8.088770E+6	-1.127320E+6	-8.009828E+6	-9.801131E+1	1.948401E-11	-5.803872E+7	-1.407421E-1
1.982781E+1	0.000000E+0	1.000000E+3	8.348550E+6	-6.548021E+5	-8.322831E+6	-9.449850E+1	1.900505E-11	-1.064418E+8	-7.867540E-2
2.095992E+1	0.000000E+0	1.000000E+3	8.265570E+6	-1.007489E+6	-8.203939E+6	-9.700118E+1	1.911159E-11	-6.781182E+7	-1.228055E-1
2.203866E+1	0.000000E+0	1.000000E+3	8.033620E+6	-9.297609E+5	-7.979636E+6	-9.664595E+1	1.967799E-11	-6.941467E+7	-1.165167E-1
2.311597E+1	0.000000E+0	1.000000E+3	8.145500E+6	-1.161515E+6	-8.062261E+6	-9.819809E+1	1.933933E-11	-5.712294E+7	-1.440682E-1
2.424739E+1	0.000000E+0	1.000000E+3	8.285550E+6	-9.899374E+5	-8.226200E+6	-9.686195E+1	1.907114E-11	-6.934816E+7	-1.203396E-1
2.532739E+1	0.000000E+0	1.000000E+3	7.876830E+6	-7.595125E+5	-7.840127E+6	-9.553326E+1	2.011131E-11	-8.168983E+7	-9.687503E-2
2.640738E+1	0.000000E+0	1.000000E+3	8.131080E+6	-8.669408E+5	-8.084731E+6	-9.612055E+1	1.946208E-11	-7.626179E+7	-1.072319E-1
2.748564E+1	0.000000E+0	1.000000E+3	7.968850E+6	-7.702097E+5	-7.931541E+6	-9.554644E+1	1.987863E-11	-8.244842E+7	-9.710719E-2
2.860000E+1	0.000000E+0	1.000000E+3	7.181020E+6	3.473993E+5	-7.172612E+6	-8.722709E+1	2.213733E-11	1.484374E+8	4.843415E-2
2.968884E+1	0.000000E+0	1.000000E+3	8.023460E+6	-5.827412E+5	-8.002270E+6	-9.416504E+1	1.978381E-11	-1.104708E+8	-7.282199E-2
3.081486E+1	0.000000E+0	1.000000E+3	8.095860E+6	-6.307052E+5	-8.071255E+6	-9.446814E+1	1.959906E-11	-1.039201E+8	-7.814214E-2
3.193160E+1	0.000000E+0	1.000000E+3	7.414590E+6	2.497231E+5	-7.410383E+6	-8.806992E+1	2.145293E-11	2.201484E+8	3.369907E-2
3.302260E+1	0.000000E+0	1.000000E+3	8.097850E+6	-7.047029E+5	-8.067129E+6	-9.499239E+1	1.957941E-11	-9.305365E+7	-8.735486E-2
