AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.191316E+0	0.000000E+0	1.000000E+3	7.649990E+6	-7.122038E+5	-7.616765E+6	-9.534190E+1	2.071424E-11	-8.217079E+7	-9.350476E-2
2.320693E+0	0.000000E+0	1.000000E+3	8.149680E+6	-1.013420E+6	-8.086425E+6	-9.714328E+1	1.937740E-11	-6.553774E+7	-1.253237E-1
3.400058E+0	0.000000E+0	1.000000E+3	8.591790E+6	-1.072830E+6	-8.524546E+6	-9.717307E+1	1.837909E-11	-6.880759E+7	-1.258519E-1
4.478930E+0	0.000000E+0	1.000000E+3	8.328680E+6	-7.535770E+5	-8.294518E+6	-9.519121E+1	1.903088E-11	-9.205020E+7	-9.085241E-2
5.620056E+0	0.000000E+0	1.000000E+3	8.601740E+6	-1.014135E+6	-8.541748E+6	-9.677085E+1	1.837360E-11	-7.295866E+7	-1.187269E-1
6.698803E+0	0.000000E+0	1.000000E+3	7.919440E+6	-6.749750E+5	-7.890623E+6	-9.488926E+1	2.002362E-11	-9.291830E+7	-8.554141E-2
7.778286E+0	0.000000E+0	1.000000E+3	8.377510E+6	-8.295505E+5	-8.336337E+6	-9.568281E+1	1.890451E-11	-8.460325E+7	-9.951019E-2
8.902165E+0	0.000000E+0	1.000000E+3	7.936450E+6	1.185666E+6	-7.847384E+6	-8.140814E+1	1.982862E-11	5.312395E+7	1.510905E-1
9.993514E+0	0.000000E+0	1.000000E+3	8.231960E+6	-8.338944E+5	-8.189614E+6	-9.581401E+1	1.923433E-11	-8.126348E+7	-1.018234E-1
1.107726E+1	0.000000E+0	1.000000E+3	8.105430E+6	-6.455103E+5	-8.079685E+6	-9.456783E+1	1.957323E-11	-1.017768E+8	-7.989301E-2
1.219129E+1	0.000000E+0	1.000000E+3	8.106010E+6	9.800154E+5	-8.046550E+6	-8.305596E+1	1.949017E-11	6.704732E+7	1.217932E-1
1.329476E+1	0.000000E+0	1.000000E+3	8.245490E+6	-8.082724E+5	-8.205779E+6	-9.562551E+1	1.920910E-11	-8.411534E+7	-9.850039E-2
1.443093E+1	0.000000E+0	1.000000E+3	7.968030E+6	-5.392119E+5	-7.949764E+6	-9.388028E+1	1.992840E-11	-1.177450E+8	-6.782740E-2
1.553892E+1	0.000000E+0	1.000000E+3	7.590370E+6	9.820618E+5	-7.526571E+6	-8.256608E+1	2.079177E-11	5.866608E+7	1.304793E-1
1.663739E+1	0.000000E+0	1.000000E+3	8.126840E+6	-1.013241E+6	-8.063428E+6	-9.716218E+1	1.943106E-11	-6.518243E+7	-1.256589E-1
1.776635E+1	0.000000E+0	1.000000E+3	8.216230E+6	-7.501938E+5	-8.181910E+6	-9.523876E+1	1.928988E-11	-8.998533E+7	-9.168933E-2
1.890996E+1	0.000000E+0	1.000000E+3	8.321090E+6	-9.806335E+5	-8.263105E+6	-9.676799E+1	1.899341E-11	-7.060797E+7	-1.186762E-1
2.001571E+1	0.000000E+0	1.000000E+3	7.736410E+6	8.303426E+5	-7.691721E+6	-8.383862E+1	2.045336E-11	7.208114E+7	1.079528E-1
2.115308E+1	0.000000E+0	1.000000E+3	8.337760E+6	-9.854959E+5	-8.279314E+6	-9.678804E+1	1.895465E-11	-7.054138E+7	-1.190311E-1
2.228172E+1	0.000000E+0	1.000000E+3	7.874530E+6	3.882641E+5	-7.864952E+6	-8.717381E+1	2.018677E-11	1.597063E+8	4.936637E-2
2.339307E+1	0.000000E+0	1.000000E+3	8.251340E+6	-7.416487E+5	-8.217942E+6	-9.515683E+1	1.921030E-11	-9.180171E+7	-9.024749E-2
2.450094E+1	0.000000E+0	1.000000E+3	8.204080E+6	-7.204855E+5	-8.172382E+6	-9.503823E+1	1.932453E-11	-9.341885E+7	-8.816102E-2
2.563454E+1	0.000000E+0	1.000000E+3	7.916890E+6	-7.978822E+5	-7.876581E+6	-9.578422E+1	2.000086E-11	-7.855438E+7	-1.012980E-1
2.676979E+1	0.000000E+0	1.000000E+3	7.854490E+6	9.690179E+5	-7.794486E+6	-8.291330E+1	2.010813E-11	6.366551E+7	1.243209E-1
2.789166E+1	0.000000E+0	1.000000E+3	7.472060E+6	8.731011E+5	-7.420874E+6	-8.328973E+1	2.115410E-11	6.394641E+7	1.176547E-1
2.900352E+1	0.000000E+0	1.000000E+3	8.258440E+6	-9.637366E+5	-8.202015E+6	-9.670152E+1	1.914012E-11	-7.076813E+7	-1.175000E-1
3.011052E+1	0.000000E+0	1.000000E+3	8.131140E+6	-1.167676E+6	-8.046861E+6	-9.825653E+1	1.937063E-11	-5.662139E+7	-1.451095E-1
3.118916E+1	0.000000E+0	1.000000E+3	8.147840E+6	-8.352617E+5	-8.104914E+6	-9.588391E+1	1.943048E-11	-7.948083E+7	-1.030562E-1
3.232075E+1	0.000000E+0	1.000000E+3	7.812050E+6	-5.382428E+5	-7.793486E+6	-9.395075E+1	2.032459E-11	-1.133840E+8	-6.906316E-2
3.349884E+1	0.000000E+0	1.000000E+3	7.943930E+6	-7.009626E+5	-7.912944E+6	-9.506229E+1	1.995664E-11	-9.002767E+7	-8.858430E-2
3.465524E+1	0.000000E+0	1.000000E+3	8.007930E+6	-8.187683E+5	-7.965963E+6	-9.586844E+1	1.977051E-11	-7.832123E+7	-1.027833E-1
