AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.169439E+0	0.000000E+0	1.000000E+3	8.052910E+6	-8.049405E+5	-8.012580E+6	-9.573666E+1	1.966468E-11	-8.056417E+7	-1.004596E-1
2.288509E+0	0.000000E+0	1.000000E+3	7.627010E+6	9.377744E+5	-7.569139E+6	-8.293736E+1	2.070894E-11	6.203121E+7	1.238945E-1
3.377241E+0	0.000000E+0	1.000000E+3	8.315490E+6	-9.821205E+5	-8.257288E+6	-9.678288E+1	1.900561E-11	-7.040620E+7	-1.189398E-1
4.450238E+0	0.000000E+0	1.000000E+3	8.128760E+6	-1.065642E+6	-8.058607E+6	-9.753289E+1	1.941027E-11	-6.200652E+7	-1.322365E-1
5.575849E+0	0.000000E+0	1.000000E+3	7.625190E+6	1.574078E+6	-7.460952E+6	-7.808670E+1	2.042269E-11	3.693814E+7	2.109755E-1
6.722716E+0	0.000000E+0	1.000000E+3	8.187820E+6	-8.411520E+5	-8.144499E+6	-9.589652E+1	1.933517E-11	-7.970069E+7	-1.032785E-1
7.805208E+0	0.000000E+0	1.000000E+3	8.217830E+6	-8.958797E+5	-8.168851E+6	-9.625863E+1	1.925160E-11	-7.538147E+7	-1.096702E-1
8.882364E+0	0.000000E+0	1.000000E+3	8.095730E+6	-1.021089E+6	-8.031078E+6	-9.724583E+1	1.950213E-11	-6.418720E+7	-1.271422E-1
9.960346E+0	0.000000E+0	1.000000E+3	8.126150E+6	-9.130211E+5	-8.074695E+6	-9.645114E+1	1.946151E-11	-7.232507E+7	-1.130719E-1
1.109395E+1	0.000000E+0	1.000000E+3	7.972680E+6	-1.115956E+6	-7.894192E+6	-9.804626E+1	1.976602E-11	-5.695889E+7	-1.413642E-1
1.217343E+1	0.000000E+0	1.000000E+3	8.282010E+6	-9.172821E+5	-8.231056E+6	-9.635890E+1	1.909872E-11	-7.477709E+7	-1.114416E-1
1.328918E+1	0.000000E+0	1.000000E+3	7.405470E+6	5.912620E+5	-7.381829E+6	-8.542056E+1	2.142293E-11	9.275242E+7	8.009696E-2
1.438692E+1	0.000000E+0	1.000000E+3	8.118250E+6	-6.348775E+5	-8.093387E+6	-9.448532E+1	1.954455E-11	-1.038090E+8	-7.844398E-2
1.546372E+1	0.000000E+0	1.000000E+3	8.133380E+6	-1.158338E+6	-8.050473E+6	-9.818778E+1	1.936865E-11	-5.710930E+7	-1.438845E-1
1.657827E+1	0.000000E+0	1.000000E+3	7.712190E+6	1.149798E+6	-7.625998E+6	-8.142590E+1	2.040616E-11	5.172897E+7	1.507735E-1
1.767777E+1	0.000000E+0	1.000000E+3	7.824390E+6	-7.289855E+5	-7.790357E+6	-9.534591E+1	2.025240E-11	-8.398120E+7	-9.357537E-2
1.880664E+1	0.000000E+0	1.000000E+3	7.744360E+6	-9.430362E+5	-7.686728E+6	-9.699431E+1	2.039814E-11	-6.359789E+7	-1.226837E-1
1.993812E+1	0.000000E+0	1.000000E+3	8.232830E+6	-1.012976E+6	-8.170273E+6	-9.706764E+1	1.918485E-11	-6.691123E+7	-1.239832E-1
2.107147E+1	0.000000E+0	1.000000E+3	7.944520E+6	-6.490080E+5	-7.917966E+6	-9.468586E+1	1.996634E-11	-9.724903E+7	-8.196650E-2
2.220369E+1	0.000000E+0	1.000000E+3	8.592690E+6	-1.102093E+6	-8.521720E+6	-9.736902E+1	1.836915E-11	-6.699463E+7	-1.293276E-1
2.333934E+1	0.000000E+0	1.000000E+3	8.101910E+6	-8.430441E+5	-8.057929E+6	-9.597272E+1	1.953749E-11	-7.786182E+7	-1.046229E-1
2.447511E+1	0.000000E+0	1.000000E+3	7.722850E+6	-5.685332E+5	-7.701895E+6	-9.422176E+1	2.055240E-11	-1.049058E+8	-7.381731E-2
2.560685E+1	0.000000E+0	1.000000E+3	8.223950E+6	-9.426390E+5	-8.169748E+6	-9.658178E+1	1.922507E-11	-7.174895E+7	-1.153816E-1
2.668811E+1	0.000000E+0	1.000000E+3	8.424080E+6	-6.860015E+5	-8.396102E+6	-9.467096E+1	1.883011E-11	-1.034475E+8	-8.170476E-2
2.782046E+1	0.000000E+0	1.000000E+3	7.915090E+6	-7.388544E+5	-7.880529E+6	-9.535622E+1	2.001999E-11	-8.479160E+7	-9.375695E-2
2.895234E+1	0.000000E+0	1.000000E+3	8.474560E+6	-9.445036E+5	-8.421762E+6	-9.639900E+1	1.866332E-11	-7.603800E+7	-1.121504E-1
3.008244E+1	0.000000E+0	1.000000E+3	8.159790E+6	-1.161453E+6	-8.076707E+6	-9.818319E+1	1.930619E-11	-5.732661E+7	-1.438028E-1
3.121832E+1	0.000000E+0	1.000000E+3	8.442030E+6	-9.728349E+5	-8.385789E+6	-9.661730E+1	1.872709E-11	-7.325793E+7	-1.160099E-1
3.229643E+1	0.000000E+0	1.000000E+3	7.968710E+6	-1.097092E+6	-7.892828E+6	-9.791333E+1	1.978230E-11	-5.788059E+7	-1.389986E-1
