AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.169388E+0	0.000000E+0	1.000000E+3	8.678540E+6	-5.770758E+5	-8.659333E+6	-9.381267E+1	1.829832E-11	-1.305150E+8	-6.664207E-2
2.241788E+0	0.000000E+0	1.000000E+3	8.168210E+6	-4.797994E+5	-8.154106E+6	-9.336748E+1	1.945103E-11	-1.390574E+8	-5.884144E-2
3.321036E+0	0.000000E+0	1.000000E+3	9.037680E+6	1.458286E+5	-9.036503E+6	-8.907546E+1	1.760786E-11	5.601072E+8	1.613773E-2
4.398844E+0	0.000000E+0	1.000000E+3	9.253890E+6	-1.164449E+5	-9.253157E+6	-9.072099E+1	1.719735E-11	-7.354080E+8	-1.258434E-2
5.486742E+0	0.000000E+0	1.000000E+3	8.550910E+6	-5.140585E+5	-8.535444E+6	-9.344655E+1	1.857897E-11	-1.422369E+8	-6.022633E-2
6.564490E+0	0.000000E+0	1.000000E+3	8.548270E+6	-6.425965E+5	-8.524083E+6	-9.431114E+1	1.856570E-11	-1.137151E+8	-7.538600E-2
7.643602E+0	0.000000E+0	1.000000E+3	8.759140E+6	-1.362999E+6	-8.652443E+6	-9.895210E+1	1.794882E-11	-5.628951E+7	-1.575276E-1
8.719718E+0	0.000000E+0	1.000000E+3	8.411410E+6	-2.302224E+5	-8.408259E+6	-9.156840E+1	1.891423E-11	-3.073194E+8	-2.738051E-2
9.797351E+0	0.000000E+0	1.000000E+3	8.967110E+6	-5.841848E+5	-8.948061E+6	-9.373532E+1	1.771104E-11	-1.376432E+8	-6.528619E-2
1.092532E+1	0.000000E+0	1.000000E+3	8.904890E+6	-3.992831E+5	-8.895934E+6	-9.256993E+1	1.785478E-11	-1.985986E+8	-4.488378E-2
1.199981E+1	0.000000E+0	1.000000E+3	8.936070E+6	-7.785379E+5	-8.902091E+6	-9.499812E+1	1.774267E-11	-1.025683E+8	-8.745562E-2
1.307758E+1	0.000000E+0	1.000000E+3	9.144960E+6	-1.132466E+6	-9.074570E+6	-9.711348E+1	1.726961E-11	-7.384796E+7	-1.247955E-1
1.415393E+1	0.000000E+0	1.000000E+3	9.280110E+6	1.926072E+5	-9.278111E+6	-8.881075E+1	1.714642E-11	4.471300E+8	2.075931E-2
1.523468E+1	0.000000E+0	1.000000E+3	8.593660E+6	-3.533033E+5	-8.586394E+6	-9.235621E+1	1.850438E-11	-2.090300E+8	-4.114687E-2
1.631080E+1	0.000000E+0	1.000000E+3	8.735980E+6	-3.642169E+5	-8.728384E+6	-9.238944E+1	1.820249E-11	-2.095382E+8	-4.172787E-2
1.738929E+1	0.000000E+0	1.000000E+3	9.046340E+6	-9.115308E+5	-9.000299E+6	-9.578307E+1	1.750376E-11	-8.977894E+7	-1.012778E-1
1.851908E+1	0.000000E+0	1.000000E+3	8.802600E+6	-4.857770E+5	-8.789186E+6	-9.316351E+1	1.805289E-11	-1.595089E+8	-5.526985E-2
1.960140E+1	0.000000E+0	1.000000E+3	9.000320E+6	-9.838680E+5	-8.946383E+6	-9.627582E+1	1.757728E-11	-8.233397E+7	-1.099738E-1
2.067702E+1	0.000000E+0	1.000000E+3	8.213080E+6	-6.875628E+5	-8.184250E+6	-9.480217E+1	1.931021E-11	-9.810695E+7	-8.401048E-2
2.175307E+1	0.000000E+0	1.000000E+3	8.525850E+6	-2.335251E+5	-8.522651E+6	-9.156954E+1	1.866034E-11	-3.112732E+8	-2.740053E-2
2.288704E+1	0.000000E+0	1.000000E+3	9.159130E+6	-2.818156E+5	-9.154793E+6	-9.176320E+1	1.736842E-11	-2.976757E+8	-3.078339E-2
2.396850E+1	0.000000E+0	1.000000E+3	8.190810E+6	-4.831710E+5	-8.176547E+6	-9.338181E+1	1.939708E-11	-1.388522E+8	-5.909231E-2
2.504386E+1	0.000000E+0	1.000000E+3	8.843500E+6	-3.527945E+5	-8.836460E+6	-9.228631E+1	1.798250E-11	-2.216800E+8	-3.992487E-2
2.612256E+1	0.000000E+0	1.000000E+3	8.873650E+6	-5.582599E+5	-8.856072E+6	-9.360698E+1	1.790015E-11	-1.410484E+8	-6.303697E-2
2.726836E+1	0.000000E+0	1.000000E+3	8.660300E+6	-6.983307E+4	-8.660018E+6	-9.046201E+1	1.837693E-11	-1.074001E+9	-8.063848E-3
2.834535E+1	0.000000E+0	1.000000E+3	8.870540E+6	-5.992244E+5	-8.850277E+6	-9.387341E+1	1.790098E-11	-1.313139E+8	-6.770685E-2
2.942121E+1	0.000000E+0	1.000000E+3	8.458440E+6	-3.483357E+5	-8.451264E+6	-9.236022E+1	1.880015E-11	-2.053916E+8	-4.121699E-2
3.050120E+1	0.000000E+0	1.000000E+3	8.577990E+6	-5.304132E+5	-8.561575E+6	-9.354510E+1	1.851837E-11	-1.387257E+8	-6.195275E-2
3.157670E+1	0.000000E+0	1.000000E+3	8.604270E+6	-2.483164E+5	-8.600686E+6	-9.165377E+1	1.848950E-11	-2.981417E+8	-2.887169E-2
3.265547E+1	0.000000E+0	1.000000E+3	8.355660E+6	8.048739E+2	-8.355660E+6	-8.999448E+1	1.904756E-11	8.674284E+10	9.632680E-5
3.373556E+1	0.000000E+0	1.000000E+3	9.016350E+6	-6.061056E+5	-8.995955E+6	-9.385450E+1	1.761189E-11	-1.341261E+8	-6.737535E-2
3.481131E+1	0.000000E+0	1.000000E+3	9.508270E+6	-8.537720E+5	-9.469861E+6	-9.515167E+1	1.667096E-11	-1.058915E+8	-9.015676E-2
