AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.169172E+0	0.000000E+0	1.000000E+3	8.575910E+6	-1.269726E+6	-8.481393E+6	-9.851436E+1	1.835384E-11	-5.792290E+7	-1.497073E-1
2.243086E+0	0.000000E+0	1.000000E+3	8.392300E+6	-8.922889E+5	-8.344730E+6	-9.610336E+1	1.885691E-11	-7.893262E+7	-1.069284E-1
3.319613E+0	0.000000E+0	1.000000E+3	8.575480E+6	-1.142990E+6	-8.498966E+6	-9.765951E+1	1.839371E-11	-6.433902E+7	-1.344858E-1
4.456604E+0	0.000000E+0	1.000000E+3	8.650160E+6	-5.877894E+5	-8.630166E+6	-9.389632E+1	1.835655E-11	-1.272995E+8	-6.810870E-2
5.542773E+0	0.000000E+0	1.000000E+3	8.919120E+6	-4.446449E+5	-8.908030E+6	-9.285755E+1	1.782205E-11	-1.789084E+8	-4.991507E-2
6.619264E+0	0.000000E+0	1.000000E+3	7.992430E+6	-7.952369E+5	-7.952769E+6	-9.571031E+1	1.981440E-11	-8.032693E+7	-9.999497E-2
7.700529E+0	0.000000E+0	1.000000E+3	8.966960E+6	-3.833433E+5	-8.958762E+6	-9.245018E+1	1.773281E-11	-2.097503E+8	-4.278976E-2
8.776750E+0	0.000000E+0	1.000000E+3	8.079630E+6	-5.865791E+5	-8.058309E+6	-9.416332E+1	1.964632E-11	-1.112901E+8	-7.279183E-2
9.854866E+0	0.000000E+0	1.000000E+3	8.306710E+6	-2.334183E+5	-8.303430E+6	-9.161022E+1	1.915224E-11	-2.956127E+8	-2.811107E-2
1.093361E+1	0.000000E+0	1.000000E+3	8.512000E+6	-9.540899E+5	-8.458360E+6	-9.643567E+1	1.857989E-11	-7.594058E+7	-1.127985E-1
1.201240E+1	0.000000E+0	1.000000E+3	8.069850E+6	-1.129318E+6	-7.990439E+6	-9.804454E+1	1.952809E-11	-5.766534E+7	-1.413336E-1
1.308910E+1	0.000000E+0	1.000000E+3	8.647130E+6	-4.752114E+5	-8.634062E+6	-9.315033E+1	1.837771E-11	-1.573465E+8	-5.503915E-2
1.416572E+1	0.000000E+0	1.000000E+3	8.409940E+6	-3.891880E+5	-8.400930E+6	-9.265243E+1	1.890435E-11	-1.817299E+8	-4.632677E-2
1.524433E+1	0.000000E+0	1.000000E+3	8.397660E+6	-9.540402E+5	-8.343291E+6	-9.652333E+1	1.882959E-11	-7.391795E+7	-1.143482E-1
1.637539E+1	0.000000E+0	1.000000E+3	8.242870E+6	-6.864424E+5	-8.214238E+6	-9.477696E+1	1.924113E-11	-9.898121E+7	-8.356739E-2
1.745657E+1	0.000000E+0	1.000000E+3	8.240050E+6	-1.222526E+6	-8.148856E+6	-9.853212E+1	1.910104E-11	-5.553945E+7	-1.500243E-1
1.853435E+1	0.000000E+0	1.000000E+3	8.816550E+6	-1.031493E+6	-8.756002E+6	-9.671871E+1	1.792787E-11	-7.535828E+7	-1.178041E-1
1.964579E+1	0.000000E+0	1.000000E+3	8.680590E+6	-6.037998E+5	-8.659565E+6	-9.398857E+1	1.829017E-11	-1.247974E+8	-6.972634E-2
2.074480E+1	0.000000E+0	1.000000E+3	8.757980E+6	-1.271993E+6	-8.665117E+6	-9.835107E+1	1.797987E-11	-6.030082E+7	-1.467947E-1
2.189980E+1	0.000000E+0	1.000000E+3	8.594750E+6	-7.602736E+5	-8.561058E+6	-9.507490E+1	1.844510E-11	-9.716204E+7	-8.880603E-2
2.303395E+1	0.000000E+0	1.000000E+3	8.139000E+6	-6.159696E+5	-8.115658E+6	-9.434037E+1	1.949853E-11	-1.075432E+8	-7.589891E-2
2.414590E+1	0.000000E+0	1.000000E+3	8.534570E+6	-8.822074E+5	-8.488851E+6	-9.593319E+1	1.854837E-11	-8.256436E+7	-1.039254E-1
2.527802E+1	0.000000E+0	1.000000E+3	8.742690E+6	-6.223346E+5	-8.720512E+6	-9.408196E+1	1.815816E-11	-1.228192E+8	-7.136445E-2
2.634826E+1	0.000000E+0	1.000000E+3	8.581370E+6	-7.278858E+5	-8.550444E+6	-9.486577E+1	1.847973E-11	-1.011696E+8	-8.512842E-2
2.743325E+1	0.000000E+0	1.000000E+3	8.725100E+6	-6.288279E+5	-8.702410E+6	-9.413296E+1	1.819361E-11	-1.210623E+8	-7.225904E-2
2.851167E+1	0.000000E+0	1.000000E+3	8.240280E+6	-3.371284E+5	-8.233381E+6	-9.234475E+1	1.929809E-11	-2.014135E+8	-4.094653E-2
2.964426E+1	0.000000E+0	1.000000E+3	8.387160E+6	-1.321848E+6	-8.282341E+6	-9.906784E+1	1.873887E-11	-5.321673E+7	-1.595984E-1
3.072098E+1	0.000000E+0	1.000000E+3	8.158430E+6	-4.836228E+5	-8.144083E+6	-9.339842E+1	1.947373E-11	-1.376279E+8	-5.938333E-2
3.179993E+1	0.000000E+0	1.000000E+3	8.329710E+6	-1.136561E+6	-8.251806E+6	-9.784228E+1	1.892820E-11	-6.104735E+7	-1.377349E-1
3.288074E+1	0.000000E+0	1.000000E+3	8.387980E+6	-6.608214E+5	-8.361909E+6	-9.451856E+1	1.891519E-11	-1.064708E+8	-7.902758E-2
3.396898E+1	0.000000E+0	1.000000E+3	8.434870E+6	-7.283174E+5	-8.403368E+6	-9.495343E+1	1.879822E-11	-9.768684E+7	-8.666971E-2
