AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.167511E+0	0.000000E+0	1.000000E+3	9.263650E+6	1.544765E+5	-9.262362E+6	-8.904452E+1	1.717820E-11	5.555228E+8	1.667787E-2
2.240603E+0	0.000000E+0	1.000000E+3	8.312310E+6	-5.489138E+4	-8.312129E+6	-9.037836E+1	1.914648E-11	-1.258750E+9	-6.603769E-3
3.371257E+0	0.000000E+0	1.000000E+3	7.797410E+6	-1.315647E+5	-7.796300E+6	-9.096679E+1	2.040835E-11	-4.621270E+8	-1.687527E-2
4.453116E+0	0.000000E+0	1.000000E+3	8.321540E+6	-4.264059E+5	-8.310608E+6	-9.293719E+1	1.910053E-11	-1.623993E+8	-5.130863E-2
5.543425E+0	0.000000E+0	1.000000E+3	7.501540E+6	-6.421228E+5	-7.474007E+6	-9.491046E+1	2.113843E-11	-8.763605E+7	-8.591413E-2
6.619372E+0	0.000000E+0	1.000000E+3	8.091860E+6	-6.925728E+5	-8.062167E+6	-9.490989E+1	1.959635E-11	-9.454341E+7	-8.590405E-2
7.699600E+0	0.000000E+0	1.000000E+3	7.830940E+6	-1.640750E+5	-7.829221E+6	-9.120056E+1	2.031940E-11	-3.737537E+8	-2.095674E-2
8.772720E+0	0.000000E+0	1.000000E+3	8.432720E+6	-8.933181E+4	-8.432247E+6	-9.060697E+1	1.887244E-11	-7.960296E+8	-1.059407E-2
9.851327E+0	0.000000E+0	1.000000E+3	8.338260E+6	-2.933101E+5	-8.333100E+6	-9.201588E+1	1.907550E-11	-2.370412E+8	-3.519820E-2
1.092959E+1	0.000000E+0	1.000000E+3	8.892420E+6	-3.049828E+5	-8.887188E+6	-9.196546E+1	1.788729E-11	-2.592773E+8	-3.431714E-2
1.200620E+1	0.000000E+0	1.000000E+3	8.394330E+6	2.162651E+4	-8.394302E+6	-8.985239E+1	1.895975E-11	3.258259E+9	2.576332E-3
1.307325E+1	0.000000E+0	1.000000E+3	8.394830E+6	-1.450863E+5	-8.393576E+6	-9.099028E+1	1.895585E-11	-4.857329E+8	-1.728539E-2
1.421057E+1	0.000000E+0	1.000000E+3	7.912920E+6	-6.890826E+5	-7.882859E+6	-9.499583E+1	2.003689E-11	-9.086617E+7	-8.741532E-2
1.528798E+1	0.000000E+0	1.000000E+3	8.211810E+6	-3.244764E+5	-8.205397E+6	-9.226454E+1	1.936609E-11	-2.078235E+8	-3.954427E-2
1.636418E+1	0.000000E+0	1.000000E+3	8.045520E+6	-7.961962E+5	-8.006027E+6	-9.567937E+1	1.968471E-11	-8.129955E+7	-9.944960E-2
1.744354E+1	0.000000E+0	1.000000E+3	7.843270E+6	-4.504551E+5	-7.830324E+6	-9.329243E+1	2.025842E-11	-1.365661E+8	-5.752701E-2
1.852128E+1	0.000000E+0	1.000000E+3	8.011790E+6	-3.431979E+4	-8.011716E+6	-9.024544E+1	1.986491E-11	-1.870314E+9	-4.283699E-3
1.959715E+1	0.000000E+0	1.000000E+3	8.211440E+6	7.313280E+4	-8.211114E+6	-8.948971E+1	1.938133E-11	9.219905E+8	8.906562E-3
2.067502E+1	0.000000E+0	1.000000E+3	8.053310E+6	2.950143E+3	-8.053309E+6	-8.997901E+1	1.976267E-11	2.198395E+10	3.663268E-4
2.175677E+1	0.000000E+0	1.000000E+3	7.805390E+6	-4.460197E+5	-7.792636E+6	-9.327581E+1	2.035707E-11	-1.365951E+8	-5.723605E-2
2.283181E+1	0.000000E+0	1.000000E+3	8.360780E+6	-6.863464E+5	-8.332561E+6	-9.470878E+1	1.897165E-11	-1.018475E+8	-8.236920E-2
2.391024E+1	0.000000E+0	1.000000E+3	8.983980E+6	-4.134196E+5	-8.974463E+6	-9.263754E+1	1.769665E-11	-1.952300E+8	-4.606622E-2
2.499088E+1	0.000000E+0	1.000000E+3	7.551990E+6	-1.305951E+5	-7.550861E+6	-9.099085E+1	2.107142E-11	-4.367127E+8	-1.729540E-2
2.606701E+1	0.000000E+0	1.000000E+3	8.065520E+6	-7.192432E+5	-8.033387E+6	-9.511615E+1	1.965414E-11	-9.044592E+7	-8.953176E-2
2.714123E+1	0.000000E+0	1.000000E+3	8.492310E+6	-4.002952E+5	-8.482871E+6	-9.270171E+1	1.872023E-11	-1.801653E+8	-4.718865E-2
2.822007E+1	0.000000E+0	1.000000E+3	8.178220E+6	-2.862910E+5	-8.173207E+6	-9.200614E+1	1.944890E-11	-2.336199E+8	-3.502799E-2
2.929813E+1	0.000000E+0	1.000000E+3	8.335650E+6	3.410523E+5	-8.328670E+6	-8.765509E+1	1.907730E-11	2.037314E+8	4.094919E-2
3.037630E+1	0.000000E+0	1.000000E+3	7.737120E+6	4.879248E+4	-7.736966E+6	-8.963867E+1	2.056990E-11	1.226890E+9	6.306410E-3
3.145571E+1	0.000000E+0	1.000000E+3	7.953600E+6	-5.554489E+4	-7.953406E+6	-9.040014E+1	2.000994E-11	-1.138894E+9	-6.983787E-3
3.253082E+1	0.000000E+0	1.000000E+3	8.088930E+6	-5.875483E+4	-8.088717E+6	-9.041618E+1	1.967513E-11	-1.113624E+9	-7.263801E-3
3.361031E+1	0.000000E+0	1.000000E+3	8.547390E+6	-2.025856E+5	-8.544989E+6	-9.135812E+1	1.861507E-11	-3.606272E+8	-2.370811E-2
