AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.223870E+0	0.000000E+0	1.000000E+3	8.798200E+6	-6.795437E+5	-8.771918E+6	-9.442975E+1	1.803545E-11	-1.139122E+8	-7.746809E-2
2.296759E+0	0.000000E+0	1.000000E+3	9.152470E+6	-6.033841E+5	-9.132559E+6	-9.378001E+1	1.735146E-11	-1.388298E+8	-6.606956E-2
3.374561E+0	0.000000E+0	1.000000E+3	8.642910E+6	-8.794787E+5	-8.598047E+6	-9.584037E+1	1.831892E-11	-8.493656E+7	-1.022882E-1
4.451857E+0	0.000000E+0	1.000000E+3	8.845660E+6	-4.861219E+5	-8.832292E+6	-9.315033E+1	1.796524E-11	-1.609590E+8	-5.503915E-2
5.586599E+0	0.000000E+0	1.000000E+3	8.381880E+6	-4.109971E+5	-8.371798E+6	-9.281057E+1	1.896514E-11	-1.709402E+8	-4.909306E-2
6.663344E+0	0.000000E+0	1.000000E+3	9.123840E+6	-1.007437E+6	-9.068050E+6	-9.633942E+1	1.733719E-11	-8.262996E+7	-1.110974E-1
7.743398E+0	0.000000E+0	1.000000E+3	8.625660E+6	-7.635233E+5	-8.591801E+6	-9.507834E+1	1.837891E-11	-9.744563E+7	-8.886650E-2
8.873140E+0	0.000000E+0	1.000000E+3	8.525000E+6	-8.491601E+5	-8.482603E+6	-9.571661E+1	1.857635E-11	-8.558531E+7	-1.001061E-1
1.000769E+1	0.000000E+0	1.000000E+3	8.405970E+6	-9.993173E+5	-8.346358E+6	-9.682758E+1	1.879929E-11	-7.070861E+7	-1.197309E-1
1.108608E+1	0.000000E+0	1.000000E+3	8.561710E+6	-9.763351E+5	-8.505860E+6	-9.654797E+1	1.846789E-11	-7.507963E+7	-1.147838E-1
1.221969E+1	0.000000E+0	1.000000E+3	8.485610E+6	-9.906680E+5	-8.427583E+6	-9.670439E+1	1.862761E-11	-7.268386E+7	-1.175507E-1
1.329662E+1	0.000000E+0	1.000000E+3	8.715330E+6	-1.149796E+6	-8.639152E+6	-9.758102E+1	1.810188E-11	-6.606129E+7	-1.330913E-1
1.443047E+1	0.000000E+0	1.000000E+3	8.598740E+6	-7.455509E+5	-8.566358E+6	-9.497406E+1	1.843940E-11	-9.917275E+7	-8.703243E-2
1.550901E+1	0.000000E+0	1.000000E+3	8.408420E+6	-1.156047E+6	-8.328570E+6	-9.790244E+1	1.874830E-11	-6.115802E+7	-1.388050E-1
1.664197E+1	0.000000E+0	1.000000E+3	8.264050E+6	-1.190606E+6	-8.177835E+6	-9.828346E+1	1.905779E-11	-5.736113E+7	-1.455894E-1
1.775954E+1	0.000000E+0	1.000000E+3	7.597260E+6	1.163079E+6	-7.507703E+6	-8.119385E+1	2.070204E-11	4.962548E+7	1.549181E-1
1.884551E+1	0.000000E+0	1.000000E+3	8.241130E+6	1.025550E+6	-8.177070E+6	-8.285142E+1	1.916215E-11	6.622420E+7	1.254178E-1
1.994889E+1	0.000000E+0	1.000000E+3	9.063900E+6	-9.727070E+5	-9.011555E+6	-9.616065E+1	1.745781E-11	-8.445944E+7	-1.079400E-1
2.103101E+1	0.000000E+0	1.000000E+3	8.545230E+6	-9.415094E+5	-8.493204E+6	-9.632566E+1	1.851161E-11	-7.755733E+7	-1.108544E-1
2.210940E+1	0.000000E+0	1.000000E+3	8.921670E+6	-5.686711E+5	-8.903528E+6	-9.365454E+1	1.780287E-11	-1.399688E+8	-6.387031E-2
2.324054E+1	0.000000E+0	1.000000E+3	8.964560E+6	-5.037550E+5	-8.950395E+6	-9.322138E+1	1.772574E-11	-1.595286E+8	-5.628299E-2
2.437448E+1	0.000000E+0	1.000000E+3	8.629540E+6	-1.004043E+6	-8.570931E+6	-9.668147E+1	1.831778E-11	-7.416909E+7	-1.171452E-1
2.545503E+1	0.000000E+0	1.000000E+3	8.634750E+6	-5.216845E+5	-8.618976E+6	-9.346374E+1	1.839824E-11	-1.429195E+8	-6.052743E-2
2.653160E+1	0.000000E+0	1.000000E+3	9.002950E+6	-8.808208E+5	-8.959758E+6	-9.561462E+1	1.759328E-11	-9.201997E+7	-9.830855E-2
2.761034E+1	0.000000E+0	1.000000E+3	9.180880E+6	-1.209485E+6	-9.100863E+6	-9.757013E+1	1.718439E-11	-6.968960E+7	-1.328979E-1
2.874246E+1	0.000000E+0	1.000000E+3	8.649450E+6	-5.020230E+5	-8.634869E+6	-9.332738E+1	1.836957E-11	-1.490230E+8	-5.813905E-2
2.982342E+1	0.000000E+0	1.000000E+3	8.461000E+6	1.325269E+4	-8.460990E+6	-8.991026E+1	1.881039E-11	5.401812E+9	1.566328E-3
3.089958E+1	0.000000E+0	1.000000E+3	9.185340E+6	-1.035222E+6	-9.126817E+6	-9.647120E+1	1.721666E-11	-8.149990E+7	-1.134264E-1
3.197544E+1	0.000000E+0	1.000000E+3	8.581890E+6	-9.210646E+5	-8.532319E+6	-9.616123E+1	1.843832E-11	-7.996055E+7	-1.079501E-1
3.305630E+1	0.000000E+0	1.000000E+3	9.123760E+6	-1.189750E+6	-9.045855E+6	-9.749278E+1	1.729506E-11	-6.996681E+7	-1.315243E-1
3.413102E+1	0.000000E+0	1.000000E+3	8.860740E+6	-8.818090E+5	-8.816753E+6	-9.571145E+1	1.787264E-11	-8.903596E+7	-1.000152E-1
